pred_nodes,gt_nodes_sparse,matched_nodes,node_recall_sparse_gt,node_precision_sparse_gt,pred_edges,gt_edges_sparse,matched_pred_edges,edge_tp,edge_fp_matched,edge_fn,edge_jaccard_matched,edge_jaccard_naive,estimated_number_of_nodes,node_overprediction_factor,edge_jaccard_adjusted_approx,match_distance_median_um,match_distance_p95_um,method,sample_id,gt_divisions,pred_divisions,division_tp_approx,division_fp_approx,division_fn_approx,division_jaccard_approx,local_combined_score_approx
26164,71,71,1.0,0.0027136523467359733,25185,70,70,70,0,0,1.0,0.0027794322017073653,,1.0,1.0,1.4647552056572457,2.0714766773970688,deepcenter,44b6_0c582fdc,0,100,0,100,0,0.0,1.0
5409,72,71,0.9861111111111112,0.013126271029765206,5191,70,66,66,0,4,0.9428571428571428,0.012704523580365737,,1.0,0.9428571428571428,1.7235727791422095,3.5297619610570585,deepcenter,44b6_d754aa59,1,12,0,12,1,0.0,0.9428571428571428
13258,209,209,1.0,0.01576406697842812,12695,206,202,201,1,5,0.9710144927536232,0.015826771653543306,,1.0,0.9710144927536232,1.6750116604071745,3.446643161565827,deepcenter,44b6_aaf8b0ea,1,55,0,55,1,0.0,0.9710144927536232
36369,214,214,1.0,0.005884132090516649,34857,210,198,198,0,12,0.9428571428571428,0.005678396283231524,,1.0,0.9428571428571428,1.8168052317185792,3.8400697070992713,deepcenter,44b6_2a2eff9f,1,148,0,148,1,0.0,0.9428571428571428
42335,570,570,1.0,0.013464036848942955,41184,560,555,555,0,5,0.9910714285714286,0.013474471339435285,,1.0,0.9910714285714286,1.1490485194281397,2.333728575156074,deepcenter,44b6_7e557709,0,133,0,133,0,0.0,0.9910714285714286
26532,616,611,0.9918831168831169,0.023028795416855118,25603,604,573,573,0,31,0.9486754966887417,0.022353124756183194,,1.0,0.9486754966887417,1.6750116604071745,3.72334275215162,deepcenter,44b6_8f5ab931,0,106,0,106,0,0.0,0.9486754966887417
