sample_id,embryo_id,edge_jaccard_adjusted_approx,edge_jaccard_matched,node_recall_sparse_gt,edge_fn,edge_fp_matched,match_distance_p95_um,gt_nodes_sparse,pred_nodes,gt_edges_sparse,pred_edges,gt_divisions_direct,pred_divisions_direct,division_like_sources,safe_divisions_added,motion_relink_relaxed_edges,gap_added_nodes_frac,short_track_nodes_removed,dropped_long_edges,edge_to_node_ratio,bottom24_edge_rescue,low_recall_rescue,motion_gap_conservative,branch_div_conservative
44b6_949adeb1,44b6,0.91005291005291,0.91005291005291,0.9948453608247424,34,0,3.917733121653388,388,37481,378,35998,0,150,150,150,736,0.022145061728395,2246,1,0.9604332861983405,0,0,0,1
6bba_268e1230,6bba,0.9165302782324058,0.9165302782324058,0.9594383775351014,49,2,4.525258448551438,641,4966,609,4637,1,16,16,16,375,0.0128852516106564,839,8,0.9337494965767216,0,1,0,0
6bba_b329af44,6bba,0.9250788643533124,0.9250788643533124,0.9870820668693008,95,0,4.0827619710803615,1316,67200,1268,65218,1,267,267,267,1659,0.0161123494019783,2534,0,0.9705059523809524,0,0,0,1
6bba_ebdf3b34,6bba,0.9253731343283582,0.9253731343283582,0.9834710743801652,59,1,3.6652500849473295,847,57360,803,55634,2,179,179,180,1970,0.0185559938261018,2003,58,0.9699093444909344,0,0,0,1
44b6_18ced818,44b6,0.9292929292929292,0.9292929292929292,1.0,7,0,3.5694003182591465,100,73539,99,70749,0,295,295,295,1711,0.0262305402179757,4689,0,0.9620609472524784,0,0,0,1
44b6_c50204e0,44b6,0.9294478527607362,0.9294478527607362,0.996996996996997,22,1,4.151895032038765,333,36995,325,35452,2,152,152,152,979,0.0321328662516696,3945,0,0.9582916610352752,0,0,1,1
6bba_05db0fb1,6bba,0.9315878378378378,0.9315878378378378,0.997558991049634,80,1,3.832554834897995,1229,68802,1183,66864,3,248,248,249,1909,0.0133047822983583,2155,0,0.9718322141798204,0,0,0,1
44b6_551a5dba,44b6,0.9330357142857144,0.9330357142857144,0.9912280701754386,15,0,4.714770963998788,228,28857,224,27661,0,118,118,118,653,0.0298415578524446,2909,1,0.9585542502685656,0,0,1,0
44b6_d5e7d891,44b6,0.9395296752519596,0.9395296752519596,0.9911699779249448,54,0,4.327039186829451,906,43313,893,41766,2,174,174,174,740,0.0248431954643869,2587,0,0.9642832405975112,0,0,0,1
44b6_2a2eff9f,44b6,0.9428571428571428,0.9428571428571428,1.0,12,0,3.8400697070992713,214,36369,210,34857,1,148,148,148,513,0.0253213666813232,3265,0,0.9584261321455084,0,0,0,1
